,Title_Desc
3482,"Trolls Is Gone Crazy! : Drakuru... You know who this troll is? I think bad troll are controlled by the Drakuru troll. They call themself Drakuru trolls - that how I know. Now you see why I am chief of Rageclaw. Smartest of all wolvar!But that not why I talk to you now. Bad troll come and kick Rageclaw out of den. Rageclaw that no run away held as prisoner in village. You go to Rageclaw Den, southeast, and free captured Rageclaw. Kill troll for lock opener. You maybe kill many troll for many lock opener."
3483,"Return of the High Chief : <Banthok hands you the prison key.>You must hurry, <name>. Take the key and use it to unchain my father from the Anub'ar prison. Once he is freed, assist him in destroying the Anub'ar leader, Under-king Anub'et'kan. When the Under-king is defeated, take from his chitinous carapace a fragment as a trophy to present to the Horde at Agmar's Hammer. Let Agmar see the might of the High Chief!"
3484,"To Venomspite! : I got a special bat all lined up for you, buddy. Fastest and smoothest ride I've got. He'll take you right to Venomspite - in style.Just hand that vial over to Chief Plaguebringer Middleton once you land."
3485,"A Carver and a Croaker : Some of the pirates around here... we have our own special way of talking.  Zeh'gehn has... many different special ways of talking... all mixed together.From what I can tell he wants a frog and a knife.""Silvermoon"" Harry might have a knife on the cheap.  There's frogs all over town, just grab one and bring it to him along with the knife.I'd hate to be in the poor critter's shoes, if you know what I mean."
3486,"The Forgotten Tale : The toxins in the murkweed elixir will render you unconscious. So powerful is the effect of the murkweed that even your spirit will be fooled, allowing you to temporarily enter the world of the dead.Once a spirit, you must speak to the ghostly denizens of the Forgotten Shore. Seek out the cause of their anguish and return to me.Remember, <name>, these spirits were once Alliance soldiers. Treat them with respect, honor and dignity.Now, with elixir in hand, venture south to the Forgotten Shore."
3487,"A Righteous Sermon : Godfrey Goodard, once a righteous man and mayor of Wintergarde, is now an agent of the Scourge. His transformation from man to undying ghoul has taken place slowly, over time. He hears the call of the Lich King now and lives only to serve his master.But as with all Scourge, Godfrey knows the language of death and with proper motivation, will tell us what we need to know about the tome.Once you hear what you need to hear, return to the High Commander at the front lines. I'll clean up here as needed."
3488,"No Fly Zone : Now that you got your bone gryphon, I wantcha to take it back down there everyday and make a no fly zone over Onslaught Harbor.I gotta admit, mon, I don't really care if you use the bone gryphon to kill them gryphon riders or not. But I'm guessin' that if you do, you'll find it much easier to get to 'em.Besides, it's got lots of neat tricks you can use."
3489,"Chasing Icestorm: Thel'zan's Phylactery : Your frostwyrm is out there.<Tyralion points west.>And it's a big one!When you're ready to fight, go speak with ""Wyrmbait."" He'll ""fetch"" her. Once Icestorm is close enough we'll chain her to the ground and finish her off! Hopefully, with your help, we'll be able to take her down and get you that phylactery.Once you've got the phylactery, return to Wintergarde Keep and report to High Commander Halford Wyrmbane. He's been making preparations for the final showdown with Thel'zan."
3490,"Emergency Protocol: Section 8.2, Paragraph D : There's only one more thing left to do before I can finally return to the airstrip and make my report. Section 8.2, paragraph D of the emergency protocol requires me to scuttle as much of the wreckage as possible, in order to prevent our technology from falling into enemy hands.I'll give you my torch if you agree to help me complete this last duty. I don't want to think about what the Horde's goblin allies will do if these machines fall into their hands."
3491,"Foundation for Revenge : I have something special planned for my favorite high priests. But first you get to prove yourself in laying the foundation for my revenge.You do still want to live, yes?As you have seen, my devotees are enjoying their stay here, but now it's time for them to make final restitution.Do me the smallest of favors if you would, <name>. Lure them near my soul fonts and then put an end to their existences.They taste so delicious, and their sacrifice will not go in vain, I can assure you."
3492,"Wooly Justice : Ahunae hear about your trip to Mam'toth Crater, mon. The children of Mam'toth are enraged and cry out for justice!Follow the avenue northeast up the steps to the next tier of Zul'Drak. On your right you will find what's left of the Altar of Mam'toth.When you get there, flash this Medallion of Mam'toth in front of the eyes of one of the enraged mammoths. It'll calm down for a little while, letting you hop on its back.Ride it around, trampling all of the Mam'toth disciples that you can find!"
3493,"Suppressing the Elements : If you are to survive here, as we have, you must learn to face the environment's challenges head on. The elements will claim your life if you're not vigilant, as the proliferation of elementals in these northern hills shows.We must cull the elementals one last time before we can leave this place. Are you willing to aid us while we continue to make preparations?You must kill any iceshard elementals or howling cyclones you encounter in the snowy hills surrounding the outpost."
3494,"Expression of Gratitude : I know just the job for an eager newcomer! We've got a gnoll problem. You might even call it a gnoll infestation! Pesky things. They keep creeping up more and more, and now they're on our doorstep, stealing our parts! Inconceivable.It all begins and ends with their uppity leader, Gnarlhide. I want you to see to that ""ends"" part. Go pay him a visit at his camp all the way to the west, in Snowblind Hills.And when I say ""pay him a visit,"" that's a euphemism for ""kill him painfully."" Kay? Kay!"
3495,"Strength of Icemist : <Greatmother Icemist bows.>It is an honor to meet you, hero. It is because of your actions that many of us are here now, alive and ready for battle against the Scourge.You have done so much for us that it shames me to ask you for your assistance once more. Despite my pleas, my only son, Banthok, left here to go in search of his father, High Chief Icemist. He was last seen heading west, towards Icemist Village. Please find Banthok. I do not know what I would do if I lost my son."
3496,"Eyes of the Eagle : Garwal hides himself behind an unnatural magic. None can see him unless he wants you to. There may be one chance we can take, though.My enemy, the great eagle, Talonshrike, is said to have eyes that can see anything. If you were to take her eyes, then you would surely be able to see Garwal.Talonshrike keeps her nest at the base of a waterfall just to the southwest of the vrykul place called Skorn. If you touch the eggs in her nest, she will come down from the sky to kill you.Get her eyes."
3497,"Make the Bad Snake Go Away : We were here long before the puppy-men came. This is very sacred place - we will not leave.You seem like maybe you good, but we have Lafoo stay with you just in case. You understand we think.There snakes thing that keeps trying to eat our hatchlings. Go with Lafoo and make them stop, okay? Especially big one near waterfall to northeast."
3498,"... Or Maybe We Don't : The golem's cells have just enough power to run it at the lowest levels, but it can't power any of its combat systems.The good news is that the perimeter of Dun Argol is patrolled by lightning sentries. We should be able to use their power to charge up the golem's weapon systems.Bring the golem with you, take it close to them, it will absorb the power as the sentries die."
3499,"Honor Challenge : The first step we're going to take is at a place in Jotunheim called the Savage Ledge. It's just over the mountains to the west.On the ledge the vrykul warriors are always sparring, being instructed in the finer arts of battle by their thane's men.I want you to take this flag and issue a challenge to a number of them. Let's demoralize them with the 'mere' skills of a <race>, shall we?<The duke grins, his rotting teeth flashing in the dim light of the vault.>"
3500,"Leave Our Mark : We must attack the vrykul of Jotunheim on many levels. Brute force, of course, is good, but I prefer a more cerebral approach.I want you to demoralize them.My men here have forged a number of banners for you. I would like for you to take and plant them near the corpses of fallen vrykul.Let the banners serve as a constant reminder to them that they face a more immediate threat than the wrath of the Lich King."
3501,"The Culler Cometh : Near the southern end of this bluff is where you will find the treacherous leader of the caribou trappers. She is a savage like no other, making a mockery out of the carcasses of the slain animals: drinking from their blood and howling to the moons!Find this murderer, Karen, and end her worthless existence.Prepare yourself properly, <name>. Karen the Culler has indulged in the riches that Nesingwary has lavished upon her!"
3502,"The Nefarious Clam Master... : It's despicable, really, to anoint one's self as the ""Clam Master,"" as if they hold mastery over the creatures of the sea. None may make such claims!This ""Clam Master"" must be found and slain. He was last seen at the wreckage just off the coast of the Abandoned Reach. Find him and kill him.Once this is done, return to Hierophant Cenius at the D.E.H.T.A. Encampment, north of here, and let her know that the mission was a success."
3503,"On Brann's Trail : After the discovery of Brann's journal in Grizzly Hills, we've only had one other communication from Brann. A mysterious note found its way to Explorers' League headquarters in Ironforge, with no indication of where it came from. All it said was that we're to meet Brann at his camp and help him with his search.From what I can tell, the camp should be located northeast of here, across the Bor's Breath River and at the foot of some ruins from the Path of the Titans."
3504,"Rhino Mastery: The Chase : Well, that's settled then. We'll seek out this native sage and have a word with him. He's not likely to volunteer his services, though.I'm told he keeps a small lean-to near the Bones of Nozronn, just across the river to the south. Seek him out, introduce yourself, and ask what he requires to help us track down this patriarch of the rhinos."
3505,"A Monument to the Fallen : Bring these fragments to Njormeld. He will use the pieces of that sacred relic in the construction of a mighty monument.May it soothe the pains and heal the scars my people have borne these many years.May its presence help to bring about a new age that sees us once again in glorious battle at Thorim's side.Go now, <class>. Njormeld awaits you."
3506,"The Gearmaster : Gearmaster Mechazod is insane! He says that he offers us immortality by removing this so-called 'Curse of the Flesh', but what he's really making are robotic slaves!<name>, we're pretty certain that he's still at the pumping station out in the middle of the pools to the east.The last we saw of him, he was in the command hut up top. Go up there and research his stuff.You must confront Mechazod if gnomes everywhere,... no, everyone everywhere, are to stay alive!"
3507,"Setting the Stage : I will give you a chance at continued existence.There are fragments of the power that fueled my curse scattered about the altar grounds. It is my desire that you collect some of them for me. Not so many that the curse will be lifted, but enough that I will be able to eventually make use of them to exact revenge upon my prophet.Go, insect. Run and do my bidding before I change my mind about letting you live."
3508,"Rampage : <name>, there is no time left. You must take the key and use it to unlock Akali.He is being held in the courtyard in front of Gundrak, the capital of Zul'Drak. Akali's chains are secured by four anchor points. You must unlock each of them to set the rhino god free.Gundrak is teeming with ice trolls. However, I believe that if you're careful, you should be able to slip in without too much danger.Once you're done, please inform the witch doctor."
3509,Orders From Drakuru : Minions be hearin' da call of your masta! Da Lich King be givin' Drakuru full control of da armies of da Scourge in Zul'Drak. We be commanded ta kill everyting.EVERYTING MUST DIE!We be processin' all da corpses in da Dead Fields and sendin' em up ta Prince Navarius' crew in  Zeramas for Scourgin'! Notin' goes ta waste on Drakuru's watch!Soon we be drinkin' da blood of da prophets ta become stronger dan eva before! Zul'Drak and Gundrak gonna fall to da Scourge!
3510,"Your Presence is Required at Agmar's Hammer : <class>, I know these tuskarr will ask you to do many favors for them, but you must get to Agmar's Hammer with all due haste!The upheaval in the land this morning is sure to have broader repercussions than just inconveniencing the natives.The Hammer is westward past the intersection of the road leading north out of the harbor. Archmage Aethas Sunreaver himself will be expecting you!"
3511,"Knowledge is a Terrible Burden : Now you know what you're up against, <name>.  An opponent who no longer knows pain... remorse... or humanity.  An opponent who will do anything to get what he wants.The heart was his weakness and now he knows you've found it.If you're going to go back for it, you'd best bring help.  He will not leave it unguarded again."
3512,"In Service of the Unholy : The power of the unholy is coveted among my kind. It makes up the very fiber of our existence, granting death to those that dare make a mockery of it! Thankfully there is a font from which I may draw from in my time of need.Take this unholy gem and make your way to the Ruby Dragonshrine, east of here. It is there that you will find Duke Vallenhal, death knight of Arthas. Weaken his resolve in battle and unleash the power of the gem upon him. It will finish him off and steal his unholy energy!"
3513,"Spread the Good Word : Before I can ship you off to Doctor Malefious with the good news, you will have to run a simple field test of the blight with the modifications I have made.The hungering dead stream out from what remains of Old Wintergarde. Commandeer a vehicle from the east gate and drive it northeast through Vengeance Pass until you reach the twin towers at the southeastern edge of Wintergarde. Drop the blight bomb on the undead that cover the area. Report back to me with the results!"
3514,"Iron Rune Constructs and You: The Bluff : You always gotta have a contingency plan in case your main plan backfires! That's why I've built in some anti-intelligence systems into the construct.Your shiny new ride might rouse some suspicion while you're at Baelgun's excavation site. That's what your bluff ability is for! Just use that any time you're confronted and you'll be safe from harm.Test it out on Lebronski by walking on his rug. Once he starts huffin' and puffin', use the bluff!Get on the work bench when you're ready to begin."
3515,"The Spy in New Hearthglen : I have a spy within the ranks of the Scarlet Onslaught. I need you to deliver these daily orders to her so that she can plan the next phase of our assault.She goes by the name of Agent Skully and she's under a magical guise to appear as the Onslaught's cemetery caretaker.Here, take these orders to her, and then do as she asks. You'll find the graveyard on the side of the abbey."
3516,"Contributin' To The Cause : The bestest of the champions come to the chapel to hear the argent confessor speak every day.You should see how much she inspires them, <name>. Not only do they fight for the Argent Crusade, but they put a lot of money into the collection basket when I take it around.Maybe you'd like to contribute too?"
3517,"Gjalerbron Attack Plans : These plans detail an imminent attack upon Westguard Keep. It would appear that the frost wyrm, Glacion, who circles overhead is to be used for the offensive.Surely Mage-Lieutenant Malister would be of some assistance in this matter. Deliver the plans to him at the keep to the south."
3518,Return to Valgarde : 'Tis a shame we lost two of our best dwarves while uncovering these relics. They sacrificed their lives to keep this information safe.<Glorenfeld wraps the cipher and tablets in a tattered cloth.>Take these back to Valgarde. McSorf will know what to do with the find.As for me? I'll be alright on my own. I've gotten this far in one piece!
3519,"Amped for Revolt! : <name>, only our best pilots are given a mission like this, one deep, deep into enemy territory with only the power of infra-green technology to protect you!Request another bomber from Rizzle, and this time fly it through the Valley of Lost Hope.  You have both air and ground targets on this mission, so keep your eyes open and your shields at full!Good luck!"
3520,"Arming Kamagua : Issliruk, the spirit of war, is depicted as a silver eagle by my people.  Our stories tell of how Issliruk fought against a hundred worgs to save his young.It is time for us, too, to fight against our foes to save our brethren.  We will need to craft new weapons.  The horns of the frostwing chimaera that make their home in the snowy parts of the island are sharp and are easily crafted into spear tips.  Bring me the best of these horns that you can find."
3521,"No One to Save You : We will spare no one. Outside, lowly necrolytes and their skeletal servants shame my land with their presence. Slaughter them all."
3522,"Force of Nature : I'm not sure about what I saw while flying to the northeast, but to me it looked like a gigantic woman kicking some Scourge butt.I'd heard the professor talk about a certain ""lifewarden""  appointed by the titans to look over Sholazar.  I might not be a titan historian, but it sounds like she fits the bill.I also know that if the Scourge cross the border between the Lost Lands and the rest of Sholazar, our expedition's as good as dead.  What do you say you go look for her and lend a hand?"
3523,"Plunderbeard Must Be Found! : There's been talk of a tunnel dug by Scourge that connects the embalming chambers of the mausoleum with the large crypts, now unearthed by Thel'zan and his minions. I recently sent my best rogue, Plunderbeard, in search of answers, but have yet to hear back from him. If I were a betting man I'd wager that he's a goner.I want you to go down those steps and head straight through the embalming chamber and look for Plunderbeard. Dead or alive, he'll have answers."
3524,"New Orders for Sergeant Stackhammer : <class>, you're here to help, right? I've got new orders for our forces that are currently deployed at the Drakkari altar to the north.You can't miss it. Just head straight up the avenue. Sergeant Stackhammer shouldn't be hard to find."
3525,"The Rider of Blood : Baelok is one of the few vrykul that I've ever seen rise through the ranks, and that was mostly accomplished through sheer brutality. If your competition ends up dead, there's far less to compete against.When you join battle with him, spread out from your companions and keep your distance as much as you reasonably can. He will not hesitate to steal your life force for himself, so you will need to hinder his ability to do so as much as possible.You have my confidence. See to it that he dies."
3526,"Coprous the Defiled : Reports of a powerful zombie at the death gate have reached my ears, <class>.We cannot allow a potential threat such as this to go unchallenged. Any information you are able to glean from engaging it will be better than what we know now.Go to the western chamber of the gate and find this creature. Fight him, and find a weakness we might exploit."
3527,"Mind Tricks : <The creature speaks directly into your mind, its thoughts painful and strange.><race>-thing, I am in need of your assistance. Like your enslaved friends, I am a victim of the Lich King's ymirjar and their avarice. When I rose from below to investigate the noises coming from this cavern they captured and chained me.Will you please help me? The foreman of these mines holds the key to my chains. Kill him!<You can feel a pushing against your mind as if the creature is trying to coerce you.>"
3528,"Guided by Honor : <Ares smiles.>Glory to the Light. You have done it!<Ares coughs.>Take the artifact and return it to Valgarde. Lord Irulon Trueblade awaits its return.Fight with honor, friend. Always. Honor.<Ares dies.>"
3529,"Drag and Drop : The Cult of the Damned hold the gate of desolation, eh? No surprise there.Time to have a little fun. At the southern end of the gate, you mentioned there were new cultists being trained. They're almost certain to be holding a special item given to all initiates - an Orb of Illusion.These artifacts are used to disguise a cult member, allowing them to gain safe passage, infiltrate, or simply blend in with an enemy.Kill the fools until you find one, <class>, then use it on a subjugator."
3530,"The Guardians of Corp'rethar : Corp'rethar, called the Horror Gate. It is the last barrier between us and the Icecrown Citadel. It waits to the south of the Ironwall Rampart, beyond the glacier and the Conflagration. By the time our troops reach it, they will be exhausted and worse.We must weaken its defenses, or our army's strength will break upon its walls.Its battlements are manned by some of the Lich King's fiercest and most zealous servants. Do all you can to destroy these guardians and hope it is enough."
3531,"Absholutely... Thish Will Work! : Voila, inshtant plague vacshine!But I sure as heck am not going to try thish on myself. And I know you don't want to be my tesht shubject!Oh, I've got... I've got an idea!We've got a vrykul prishoner being held down in the cells under the keep. Why don't you take thish mix I whipped up down there, and get that giant to drink it ...hic?!"
3532,"The Lodestone : We must find what's luring the giants northwest, so we can stop them before they reach their destination.While the rune samples gave us some clues, the unknown runes worry me.When I visited Giants' Run, I noticed a large broken tablet jutting from the ground where the northeastern part of the area met the snow at the foot of Frostblade Peak. Take this sample, compare the runes with the tablet, and see what you can learn about the identity of this lodestone."
3533,"Where the Wild Things Roam : Inside this pack are several vials containing the vaccine that Sintar created. I now want you to search the nearby woods for Snowfall elk and arctic grizzlies. When you locate the animals, find a safe distance and throw a vial in their general direction. The vial will shatter and release a fine gas that will act as the inoculating agent. The beasts merely have to step inside the gas and they will be vaccinated - ultimately saved.Inoculate as many of the beasts as you can and return to me."
3534,"Loken's Lackeys : The attack on the Terrace of the Makers was not a half-hearted move on my brother's behalf.  He sent a legion of iron dwarves and some of his most powerful lieutenants.Use the Horn of the Peaks to call the earthen to your side and defeat Loken's servants.You'll find the giant, Eisenfaust, inside the Hall of the Shaper to the north.  You'll find the others deeper inside the Terrace of the Makers, beyond the stairs to the northwest."
3535,"To Stars' Rest! : When you are ready I will place you on my fastest gryphon to Stars' Rest. Once you get there, find and speak with Archmage Modera.Good luck, ally!"
3536,"Leading the Ancestors Home : With your help, the ancestor spirits can now be guided to their rightful homes, the statues lovingly prepared by Kaskala's craftsmen and shaman.The ceremonies for these ancestors were interrupted during the attack on the quarry, and you will need to complete them. Take with you the objects that you recovered from the quarry, stand in front of the statues with the name markers, and recite this chant.<Words in a strange language flood your head, but you have no difficulty recalling them.>"
3537,"You Can Run, But You Can't Hide : Once the Scourge have a target in their sights, they'll stop at nothing to acquire it.You're doomed to a mindless existence as a walking corpse....<Stefan's face twists into a cruel grin.>... unless we can use their desires against them.I'll explain later. I have complex magic to prepare which requires certain material components.Travel due east of here to the Reliquary of Agony. Slay abominations and gather the ghoul drool you'll find there then return to me with their remnants."
3538,"Mission: Eternal Flame : The Forsaken are up to no good and from what I can tell, those plague tanks of sludge are a big part of it.If I may suggest, <sir/ma'am>, we should probably destroy them before they can get any more use out of the things. I took the liberty of preparing a bundle of torches from the Ember Clutch. These things have been burning for days!Here, I'm sure you can put them to better use than I in destroying those tanks."
3539,
3540,"A Short Fuse : As you light the fuse, you notice that it is consumed by fire far quicker than you would expect.The bombs are about to go off and your best chance at surviving is to lean towards the pit and hope the fall doesn't kill you."
3541,"The Amphitheater of Anguish: From Beyond! : I'm not gonna lie to you, pal. You might be overmatched here. This next one is a being from the elemental planes! I don't even know what's gonna show up in that arena!If you think you're up to it, get in there and give 'em hell!"
3542,Warchief's Command: Zul'Drak! : All able-bodied members of the Horde are hereby ordered to report to Crusader Lord Lantinga in Zul'Drak.  The Scourge is massacring the local population in Zul'Drak and converting them over to be part of the Scourge army.  Assist the Argent Crusade and the Ebon Blade in stopping this threat.  For the Horde!
3543,"A Delicate Touch : I've been waiting an eternity for these mines! Well, a few days at least. What took him so long?Here's the low down, compadre... there's this nasty bunch of magnataur--you know, big, hairy, and extremely ugly--and they seem pretty keen on taking K3 for themselves.Not going to happen.We've got some defenses set up in their path, northeast of here. Sadly, our laser turrets have pretty limited power supplies... that's where these mines come in! Get over there and blow them up good!"
3544,Maintaining Discipline : You've succeeded where others have failed.  Yet you cannot rest on your laurels.You must show others what strength and commitment really mean.The male insubordinates inside the Forlorn Mine need to be disciplined once again.  Show them sister... show them what it means to disobey us.
3545,"Salvaging Life's Strength : The Lifeblood Pillar was toppled over with great force, sending the very earth into an upheaval.The elementals that wander the sundered shard carry with them the very life essence that gave the pillar its strength.  I cannot allow this energy to be wasted, for only four pillars remain.Head to the sundered shard, to the southeast, and seek the lifeblood elementals.Use this gem on their remains to recover their rampant energy.  We'll need the energy to heal the land when all this is over."
3546,"Destroy the Sapling : The furbolgs' work must be undone, <name>.  The best of intentions do not count for much when the result is tainted by such strong a corruption.The sapling must be destroyed, for it is the source of this dark influence.  Take this torch and use it to set fire to the corrupted sapling and bring me its ashes.Once cleansed, by fire, I will use what power I can to remove the taint from them.  You will need the ashes to purify Ursoc from the evil power that holds sway over him."
3547,"Spy Hunter : The rapport you've developed with the inhabitants of Dun Niffelem has yielded some unexpected discoveries.For example, you somehow find yourself able to understand the denmother's guttural growls and sharp quips--at least you think you do.It would seem that she senses danger outside the stronghold and wants you to do something about it.With her forepaw, she removes the chain from around her neck and lets it drop at your feet. As you pick it up you notice an aged fang attached to it..."
3548,"A Deserter : Unit S... Unit S.... hmmmpph.... don't make any sense... it oughta be named after a town...Darkshire was sent to Dragonblight.  The Goldshire boys were sent to the Fjord.   Where did I hear...Oh, yes... the deserter!  There's a turn-tail in the barracks prison.  Got thrown in not too long ago.  Kept saying that ""S"" stood for suicide.Look for the deserter.  He might have some information for you."
3549,"Revenge for the Vargul : I've been praying to The Lady of the Sword for one to come and strike down my enemy. Thane Illskar must pay for what he did to me!I was the champion of Thane Ufrang the Mighty. During my fight for ascendance in Valhalas, Illskar sabotaged me with dark magic, causing me to lose and be reduced to this.The thane and his champions can be found below in The Circle of Suffering. Challenge him on my behalf. Defeat him.Make him know the suffering that I know!"
3550,"Master the Storm : From what you describe, the creatures of metal should be easy to deal with. But first, you must master the storm.Behind me in the lodge is a totem. When you are ready, focus your will upon it and the storm will come. You must defeat the storm and in so doing take its essence into yourself.If others are there, it is enough that you all work together to defeat it. Return to me after, <class>."
3551,"Chain of Command : Based on your report, and my knowledge of the Cult, they have an overseer managing the operation of each encampment on the gate.While taking their leaders down will only be a temporary setback, it will at least slow them down and keep them off-balance. And that, <race>, is a worthy enough goal for now.Seek out these overseers and return to me when they have been dispatched."
3552,"Tua'kea's Crab Traps : With all of the troubles, I've lost my assistants. I was wondering if maybe you could help me?I have many crab traps under the waves of the harbor. Will you retrieve them for me? I'm too old for that sort of thing and the waters can be very dangerous.Please, take this bladder. It will help you to breathe while you're down there."
3553,"Black Blood of Yogg-Saron : Angrathar, the Wrathgate... I watched as the metal holding the gate together pulsed and undulated as if it were alive! In 50 years I've never seen metal ""breathe.""Only ones who knew anything about it were the tuskarr. They called it the ""Black Blood of Yogg-Saron"" and told me to keep my distance.There's a sinkhole outside Icemist Village to the west called the Pit of Narjun. I've heard of these sinkholes being rich with this strange ore. If you head that way, could you try and get me some samples?"
3554,"The Translated Tome : Here it is, <name>. I have translated everything printed upon the pages of the tome. Inside it you will find a list of the names of Cult of the Damned members spanning the entire continent.Their network of spies and operatives is impressive, to say the least.Farewell, friend. May the book serve you and your people well."
3555,"Heated Battle : The Scourge have overrun the shrine. The shrine's keeper, Dahlia Suntouch, is nowhere to be found. The red wyrms that fell in the shrine's defense now beset us in the form of twisted skeletal emberwyrms. The situation is dire, <race>.Captain Drayzen leads a group of your kind in stemming the flow of the Scourge out of the shrine.Go to his aid... but please stay behind his men. The flow of Scourge is endless and I don't want to lose you in one of those scarred canyons."
3556,"In Wine, Truth : The military was all that old man Colburn had.  After he retired, he still clung to it like a lifeline.He knows the name of every general, unit, brigade, detachment... you name it.  He's the man you need.Problem is, his mind is scarred.  He won't talk to anyone unless he gets his Kul Tiras wine.  Takes him back to the times he was a marine.I haven't received a shipment in months.  The last merchant ship out of Kul Tiras sunk northeast of here.  See if you can salvage a bottle to bring Colburn."
3557,"An End And A Beginning : Every good story has a beginning and an ending, <name>. While your story is far from over, I'll be damned if it's not already turning out to be the stuff of legend! No matter what happens to us when this is all over, what you've done at Wintergarde will be a tale told for years to come.Now, ally, when you are ready I will use the phylactery to coax Thel'zan out of hiding.Should we somehow succeed, report the victory to High Commander Halford Wyrmbane at Wintergarde Keep."
3558,"Burn in Effigy : Tuskarr magic is similar to what your people call shamanism. While we serve the elements differently than you, the power that we are able to call forth is formidable.<Waltor waves a torch-like baton in front of you.>With this tuskarr torch I want you to return to the mist and strike at the Kvaldir vessels. You will find three of their vessels docked behind the mist at Garrosh's Landing, north of here, and one docked off the shores of Pal'ea, to the south. Burn their ships in effigy! For all to see!"
3559,"Spill Their Blood : The Scourge cannot create their flesh monsters without blood and embalming fluid to preserve the parts and keep them functioning. If we can deny them these materials, their army will fall apart and we can easily destroy their creations.Throughout the labs where the flesh giants and abominations are cobbled together, you will find vats of embalming fluid and large orbs filled with blood. Destroy these, and bring death to any who would stop you!"
3560,Identifying the Remains : A whole tooth from a dead Kraken is a rare find indeed.  Crusader Silverdawn will want to see this.
3561,"The Amphitheater of Anguish: Tuskarrmageddon! : This next one's fightin' from a dark place, kid. The kind of dark that can only happen when you've been on the flip-side. He's hungry and willing to do whatever it takes to win. Watch yourself! I've heard he wrestles yetis for exercise!We'll start when you're ready."
3562,Something That Doesn't Melt : No no no! Those ice shards didn't work at all! They'll melt before they even do any damage. That's the last time I'll trust Narf's word on materials. This means we need something else entirely for the shrapnel.I know! I'm brilliant. Bone splinters.There are some bones all around here that the jormungar have been gnawing on pretty thoroughly. Go check them out and see if you can find me some splintered bone that I can use.
3563,"Mastering the Runes : I've got a set of picks, hammers, and chisels with me, but they won't work for carving these runes. The tools used by the Iron Dwarves are imbued with magic during their forging.When they're used to carve runes, the symbols form much more than mere words. These runes have the power to bind, compel, and twist.I believe I know how it works, but without a set of those tools, I can't be certain. Look for kits resembling mine near the Iron Dwarf pavilions at Giants' Run and bring them to me."
3564,"Strengthen the Ancients : The ancients of the Lothalor Woods to the south are being corrupted by arcane wyrms... wyrms which have risen out of the ground!Those that are already corrupted are deadly and of no use to us, but most can still be saved. Luckily, the treants of the woods seem to be immune to everything happening up there.Ask the treants for their bark and when you get some, feed it to the ancients. This should strengthen them.Now leave me to my business! I have to keep an eye on these apothecaries."
3565,"Lifeblood of the Mosswalker Shrine : I've always suspected that the pillars have been the main reason for our weather and seclusion from the undead... this confirms it a bit.Not terribly long ago, there was a sound of a great explosion when the Lifeblood Pillar fell. The weather changed for the mosswalkers almost immediately... it began to snow, something we never see.They were able to stop the snow by bringing more lifeblood crystals to the Great Moss Stone. Perhaps if we can do the same, it will help ward off the undead as well."
3566,"Deciphering the Journal : Vor'takh is right -- we cannot allow this opportunity to slip through our fingers.Fortunately, I think I know of a way to translate the journal of this Brann.The shamans of the Redfang furbolgs, who congregate at the Heart's Blood Shrine south of the camp, grow an herb known as spiritsbreath. An experienced mystic can use incense made from it to seek wisdom from the spirits of the ancestors.Seek out the shaman known as Grumbald One-Eye. He should carry the herb for his devotions to Ursoc."
3567,"Hit Them Where it Hurts : Bouldercrag's got a good plan to stymie the efforts of the iron dwarves at Narvir's Cradle, and I've got an idea of my own. Work on the iron colossus will come to a halt without any artisans.Narvir's Cradle is on the south side of the hill sheltering Bouldercrag's Refuge. Go there and slay any stormforged artificers in your path. They may be no different from what we once were, but they build a weapon that threatens us all."
3568,"Training In The Field : The tournament is a time for testing your skills against your peers, but we must not forget that the real enemy, the Scourge, will not wait. As you learn to master mounted combat, do not forget to practice the skills that have served you well all these years. Show us that you can face the Scourge with honor and bravery, and you will earn your right to compete in this tournament.Travel to Icecrown and slay any Scourge you see there, but stay clear of the Bombardment, where you would be overwhelmed."
3569,"The Demo-gnome : Quarterflash recently requisitioned my group for a specialist that he could send on a reconnaissance mission to the Wintergarde Mine. To that end, I sent him Slinkin, my demolitionist. I foolishly thought that he could close off that pit of damnation after his mission for Quarterflash was complete, securing another victory for us against the Scourge.An entire day has now passed and Slinkin has not returned. I want answers! Speak with Siege Engineer Quarterflash and track down my missing agent!"
3570,"Monitoring the Rift: Sundered Chasm : Did you feel that?! That was just an aftershock... you should've been here a few minutes ago!I'm afraid I must call upon your services again. My instruments indicate that there is an immense disruption just west of here, far beneath the water's surface.Just as before, I need you to take the arcanometer and capture the anomaly's data.I'll cast a spell that will enable you to breathe underwater. If it wears off before you find it, come let me know and I'll renew its effects."
3571,"To the Rise with all Due Haste! : Some would say that our most critical mission lies not with the Lich King, but with the utter destruction of the Scarlet Onslaught. I would say that is foolish, but who am I to judge?Death's Rise is far to the southwest, overlooking the sea along the cliff wall. There you will find Lord-Commander Arete personally overseeing the Onslaught's destruction himself.<The baron clears his throat.>Do see to it that you report to him with all due haste. He asked for you personally."
